Ref. Publication date [year:mm:dd],Substrate,Electrode,TL1-front,TL2-front,TL3-front,,TL4-back,TL5-back,TL6-back,TL7-back,Electrode2,Cell. Area. Measured [cm^2],Cell. Architecture [nip/pin/ É],Module [TRUE/FALSE],Perovskite. Composition. A-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. B-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. C-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. C-ions. Coefficients [Cof.1; Cof.2; É | Cof.3; É | ...],Perovskite. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; É | Addt.4 | ... ],Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],Perovskite. Deposition. Number of deposition steps,Perovskite. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> É | Proc. 4 | ... ],Perovskite. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> É | Sol.5 | ... ],Perovskite. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> É | 1 | ... ],Perovskite. Deposition. Quenching media [Sol.1; Sol.2; É],Encapsulation [TRUE/FALSE],Encapsulation. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],Encapsulation. Edge sealing materials [Mat.1; Mat.2; ... ],JV. Reverse scan. PCE [%] ,JV. Forward scan. PCE [%] ,Stability. Measured [TRUE/FALSE],Stability. Protocol [ISOS x/IEC x/ É] ,Stability. Light source. Type [Dark/White LED/Metal halide/ ...],Stability. Light. UV filter [TRUE/FALSE],Stability. Potential bias. Load condition [Open circuit/MPPT/Constant potential/ É],Stability. Temperature. Range [T.min; T.max] or [T.constant] [deg. C],Stability. Atmosphere [Gas1; Gas2; ...],Stability. Relative humidity. Average value [%],Stability. Time. Total exposure [h],Stability. PCE. Burn in observed [TRUE/FALSE],Stability. PCE. End of experiment [% of initial PCE],Stability. PCE. T80 [h],Stability. PCE. Ts80 [h],Stability. PCE. After 1000 h [% of initial PCE]
2017-08-26 00:00:00,SLG , FTO , TiO2-c , TiO2-mp , Al2O3-mp , Perovskite , Spiro-MeOTAD ,,,, Au,0.17,nip-mp,FALSE,MA,Pb,I,3,Cl; NiO-np,1.52,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,16.53,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,20.0; 20.0,Air,45,3600,TRUE,70,2400,,87
2020-04-27,SLG , FTO , TiO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.055,nip,FALSE,Cs; FA; MA,Pb,Br; I,0.45; 2.55,Undoped,nan,1,Spin-coating,DMF; DMSO,7; 3,Chlorobenzene,FALSE,Unknown,Unknown,21.25,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25; 25,Air,,2880,FALSE,72,2400,,
2019-08-30 00:00:00,SLG , ITO , PEDOT:PSS ,,, Perovskite , PCBM-60 , LiF ,,, Ag,0.05,pin,FALSE,GU; MA,Pb,I,10,,,1,Spin-coating,DMF; DMSO,1; 1,Unknown,FALSE,Unknown,Unknown,16.65,16.64,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,,2400,FALSE,80,2400,,
2019-06-25 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,3.8,nip-mp,TRUE,MA,Pb,I,3,,1.59,2,Doctor blading >> CBD,DMF >> IPA,1 >> 1,Unknown,TRUE,Kapton tape | Glass,UV-curable epoxy,13.8,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,Dry air,,3860,TRUE,68,2300,,83
2018-07-13 00:00:00,SLG , FTO , SnO2-c ,,, Perovskite , HOFP , Spiro-MeOTAD ,,, Ag,0.04828,nip,FALSE,FA; MA,Pb,Br; I,0.6; 2.4,,,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,16.9,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Ambient,,2400,FALSE,78,2300,,
2019-07-21 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,1,nip-mp,FALSE,Cs; FA; MA,Pb,Br; I,0.51; 2.49,,,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,19.4,18.3,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,Unknown,,1680,FALSE,85,2240,,
2019-02-27 00:00:00,SLG , ITO , PEDOT:PSS ,,, Perovskite , PCBM-60 , LiF ,,, Al,0.1,pin,FALSE,BA; MA,Pb,I,13,,,1,Spin-coating,Unknown,,Unknown,FALSE,Unknown,Unknown,13.8,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,nan; nan,N2,0,3500,FALSE,70,2200,,13
2016-07-05 00:00:00,SLG , FTO , PEDOT:PSS ,,, Perovskite , PCBM-60 ,,,, Al,0.05,pin,FALSE,BA; MA,Pb,I,13,,1.66,1,Spin-coating,DMF,1,Unknown,TRUE,SLG,Epoxy,,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,65,2200,FALSE,80,2200,,
2019-05-10 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , PTAA ,,,, Au,0.09,nip-mp,FALSE,FA; MA,Pb,Br; I,0.45; 2.55,,,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,18.94,18.65,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,35,2160,FALSE,80,2160,,
2019-10-15 00:00:00,SLG , ITO , P3Ct ,,, Perovskite , PCBM-60 , C60 , BCP ,, Au,0.09,pin,FALSE,Cs,Pb,Br; I,1; 2,,1.92,1,Spin-coating,DMSO,1,Unknown,FALSE,Unknown,Unknown,11.97,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,0,2160,FALSE,80,2160,,
